,fileid,prediction
0,MLSP_test1457299.npy,Microwave_oven
1,MLSP_test208923.npy,Siren
2,MLSP_test1451403.npy,Microwave_oven
3,MLSP_test1443477.npy,Microwave_oven
4,MLSP_test1379148.npy,Microwave_oven
5,MLSP_test1404304.npy,Microwave_oven
6,MLSP_test140846.npy,Microwave_oven
7,MLSP_test1395138.npy,Microwave_oven
8,MLSP_test1373407.npy,Microwave_oven
9,MLSP_test2074455.npy,Siren
10,MLSP_test1362223.npy,Microwave_oven
11,MLSP_test1357311.npy,Microwave_oven
12,MLSP_test1353495.npy,Microwave_oven
13,MLSP_test2012248.npy,Walk_and_footsteps
14,MLSP_test1301172.npy,Vehicle_horn_and_car_horn_and_honking
15,MLSP_test1306499.npy,Meow
16,MLSP_test132489.npy,Crying_and_sobbing
17,MLSP_test130845.npy,Meow
18,MLSP_test130220.npy,Doorbell
19,MLSP_test1289164.npy,Meow
20,MLSP_test1277465.npy,Meow
21,MLSP_test1216256.npy,Meow
22,MLSP_test149028.npy,Microwave_oven
23,MLSP_test1235269.npy,Meow
24,MLSP_test1205141.npy,Meow
25,MLSP_test1328457.npy,Meow
26,MLSP_test1192345.npy,Meow
27,MLSP_test1186185.npy,Meow
28,MLSP_test1163322.npy,Meow
29,MLSP_test1116162.npy,Meow
30,MLSP_test1140162.npy,Microwave_oven
31,MLSP_test1134284.npy,Meow
32,MLSP_test113179.npy,Bark
33,MLSP_test1077269.npy,Walk_and_footsteps
34,MLSP_test1194176.npy,Meow
35,MLSP_test1071.npy,Siren
36,MLSP_test1053175.npy,Crying_and_sobbing
37,MLSP_test1649169.npy,Shatter
38,MLSP_test1778475.npy,Shatter
39,MLSP_test1602453.npy,Walk_and_footsteps
40,MLSP_test1524204.npy,Walk_and_footsteps
41,MLSP_test1582420.npy,Shatter
42,MLSP_test1798478.npy,Shatter
43,MLSP_test1805429.npy,Shatter
44,MLSP_test1475459.npy,Microwave_oven
45,MLSP_test1553343.npy,Shatter
46,MLSP_test1706153.npy,Shatter
47,MLSP_test1865154.npy,Shatter
48,MLSP_test1683220.npy,Shatter
49,MLSP_test173438.npy,Walk_and_footsteps
50,MLSP_test17186.npy,Crying_and_sobbing
51,MLSP_test1810394.npy,Shatter
52,MLSP_test182273.npy,Doorbell
53,MLSP_test1968494.npy,Shatter
54,MLSP_test18380.npy,Knock
55,MLSP_test1515407.npy,Microwave_oven
56,MLSP_test1498106.npy,Microwave_oven
57,MLSP_test1516233.npy,Microwave_oven
58,MLSP_test1820283.npy,Shatter
59,MLSP_test1458291.npy,Microwave_oven
60,MLSP_test2154380.npy,Vehicle_horn_and_car_horn_and_honking
61,MLSP_test2565453.npy,Doorbell
62,MLSP_test25298.npy,Crying_and_sobbing
63,MLSP_test552352.npy,Crying_and_sobbing
64,MLSP_test2462130.npy,Vehicle_horn_and_car_horn_and_honking
65,MLSP_test2077439.npy,Siren
66,MLSP_test2072214.npy,Siren
67,MLSP_test2071356.npy,Microwave_oven
68,MLSP_test645492.npy,Shatter
69,MLSP_test2068447.npy,Doorbell
70,MLSP_test2065366.npy,Siren
71,MLSP_test2062232.npy,Siren
72,MLSP_test58819.npy,Crying_and_sobbing
73,MLSP_test206085.npy,Crying_and_sobbing
74,MLSP_test20111.npy,Bark
75,MLSP_test205489.npy,Siren
76,MLSP_test192098.npy,Shatter
77,MLSP_test2061309.npy,Vehicle_horn_and_car_horn_and_honking
78,MLSP_test198998.npy,Shatter
79,MLSP_test2559120.npy,Walk_and_footsteps
80,MLSP_test2552281.npy,Knock
81,MLSP_test2409.npy,Bark
82,MLSP_test2471429.npy,Walk_and_footsteps
83,MLSP_test2426402.npy,Walk_and_footsteps
84,MLSP_test2545247.npy,Walk_and_footsteps
85,MLSP_test2472403.npy,Knock
86,MLSP_test2406.npy,Bark
87,MLSP_test2336133.npy,Walk_and_footsteps
88,MLSP_test2318377.npy,Walk_and_footsteps
89,MLSP_test2239166.npy,Vehicle_horn_and_car_horn_and_honking
90,MLSP_test2211271.npy,Crying_and_sobbing
91,MLSP_test2229354.npy,Vehicle_horn_and_car_horn_and_honking
92,MLSP_test2206272.npy,Meow
93,MLSP_test2204281.npy,Doorbell
94,MLSP_test2186214.npy,Vehicle_horn_and_car_horn_and_honking
95,MLSP_test2182439.npy,Vehicle_horn_and_car_horn_and_honking
96,MLSP_test2158293.npy,Crying_and_sobbing
97,MLSP_test2155260.npy,Vehicle_horn_and_car_horn_and_honking
98,MLSP_test2153476.npy,Vehicle_horn_and_car_horn_and_honking
99,MLSP_test2115430.npy,Vehicle_horn_and_car_horn_and_honking
100,MLSP_test2144237.npy,Meow
101,MLSP_test213499.npy,Crying_and_sobbing
102,MLSP_test2142247.npy,Vehicle_horn_and_car_horn_and_honking
103,MLSP_test2109311.npy,Vehicle_horn_and_car_horn_and_honking
104,MLSP_test2098444.npy,Siren
105,MLSP_test2108410.npy,Vehicle_horn_and_car_horn_and_honking
106,MLSP_test210764.npy,Vehicle_horn_and_car_horn_and_honking
107,MLSP_test2091205.npy,Vehicle_horn_and_car_horn_and_honking
108,MLSP_test2090121.npy,Siren
109,MLSP_test2085405.npy,Meow
110,MLSP_test2081207.npy,Siren
111,MLSP_test2082223.npy,Siren
112,MLSP_test2073257.npy,Bark
113,MLSP_test592439.npy,Vehicle_horn_and_car_horn_and_honking
114,MLSP_test58686.npy,Crying_and_sobbing
115,MLSP_test584349.npy,Crying_and_sobbing
116,MLSP_test582166.npy,Crying_and_sobbing
117,MLSP_test580456.npy,Crying_and_sobbing
118,MLSP_test574217.npy,Crying_and_sobbing
119,MLSP_test572384.npy,Crying_and_sobbing
120,MLSP_test56548.npy,Crying_and_sobbing
121,MLSP_test569232.npy,Microwave_oven
122,MLSP_test566180.npy,Crying_and_sobbing
123,MLSP_test55319.npy,Vehicle_horn_and_car_horn_and_honking
124,MLSP_test55458.npy,Crying_and_sobbing
125,MLSP_test536357.npy,Crying_and_sobbing
126,MLSP_test5143.npy,Vehicle_horn_and_car_horn_and_honking
127,MLSP_test49854.npy,Siren
128,MLSP_test489164.npy,Doorbell
129,MLSP_test463146.npy,Knock
130,MLSP_test453350.npy,Bark
131,MLSP_test485355.npy,Bark
132,MLSP_test4577.npy,Vehicle_horn_and_car_horn_and_honking
133,MLSP_test432208.npy,Bark
134,MLSP_test423139.npy,Bark
135,MLSP_test3739.npy,Crying_and_sobbing
136,MLSP_test329269.npy,Bark
137,MLSP_test303269.npy,Microwave_oven
138,MLSP_test301421.npy,Bark
139,MLSP_test286435.npy,Bark
140,MLSP_test2828417.npy,Meow
141,MLSP_test2823431.npy,Shatter
142,MLSP_test2679170.npy,Crying_and_sobbing
143,MLSP_test2779413.npy,Walk_and_footsteps
144,MLSP_test2693194.npy,Walk_and_footsteps
145,MLSP_test2590367.npy,Walk_and_footsteps
146,MLSP_test2647496.npy,Knock
147,MLSP_test2566454.npy,Walk_and_footsteps
148,MLSP_test7672.npy,Vehicle_horn_and_car_horn_and_honking
149,MLSP_test7723.npy,Microwave_oven
150,MLSP_test755223.npy,Knock
151,MLSP_test7443.npy,Vehicle_horn_and_car_horn_and_honking
152,MLSP_test7347.npy,Vehicle_horn_and_car_horn_and_honking
153,MLSP_test7490.npy,Bark
154,MLSP_test732470.npy,Knock
155,MLSP_test712344.npy,Doorbell
156,MLSP_test6905.npy,Meow
157,MLSP_test68915.npy,Doorbell
158,MLSP_test68320.npy,Bark
159,MLSP_test684486.npy,Doorbell
160,MLSP_test688497.npy,Shatter
161,MLSP_test6886.npy,Vehicle_horn_and_car_horn_and_honking
162,MLSP_test683408.npy,Doorbell
163,MLSP_test68182.npy,Doorbell
164,MLSP_test682163.npy,Doorbell
165,MLSP_test665311.npy,Doorbell
166,MLSP_test65746.npy,Doorbell
167,MLSP_test651130.npy,Doorbell
168,MLSP_test6401.npy,Knock
169,MLSP_test63869.npy,Doorbell
170,MLSP_test639115.npy,Doorbell
171,MLSP_test6416.npy,Vehicle_horn_and_car_horn_and_honking
172,MLSP_test633242.npy,Doorbell
173,MLSP_test632353.npy,Doorbell
174,MLSP_test620253.npy,Doorbell
175,MLSP_test616123.npy,Doorbell
176,MLSP_test612184.npy,Shatter
177,MLSP_test6118.npy,Crying_and_sobbing
178,MLSP_test6079.npy,Doorbell
179,MLSP_test6052.npy,Bark
180,MLSP_test593381.npy,Crying_and_sobbing
181,MLSP_test599390.npy,Crying_and_sobbing
182,MLSP_test597453.npy,Doorbell
183,MLSP_test997159.npy,Knock
184,MLSP_test968297.npy,Knock
185,MLSP_test942230.npy,Knock
186,MLSP_test925449.npy,Knock
187,MLSP_test941333.npy,Knock
188,MLSP_test932110.npy,Knock
189,MLSP_test901102.npy,Knock
190,MLSP_test896150.npy,Knock
191,MLSP_test88227.npy,Knock
192,MLSP_test819237.npy,Knock
193,MLSP_test8395.npy,Meow
194,MLSP_test856170.npy,Knock
195,MLSP_test8403.npy,Crying_and_sobbing
196,MLSP_test80263.npy,Knock
197,MLSP_test7835.npy,Bark
198,MLSP_test7872.npy,Vehicle_horn_and_car_horn_and_honking
199,MLSP_test77893.npy,Walk_and_footsteps
200,MLSP_test774107.npy,Crying_and_sobbing
